shot,flat_top_start,flat_top_end
56249,0.3481,0.805000126
56250,0.3481,0.549900115
56252,0.1331,1.54979992
56254,0.1331,1.61349988
56255,0.1331,1.7
56257,0.188100263,1.77000022
56260,0.3481,0.673700094
56265,0.1881,1.468
56273,0.0871,2.477
56281,0.3481,0.352900088
56283,0.22810027,2.02800035
56286,0.22810027,1.97759986
56292,0.22810027,1.70100021
56295,0.188100263,1.46800029
56296,0.4001,0.418400109
56297,0.5,0.535900116
56298,0.3701,0.518100142
56299,0.3701,0.478100121
56303,0.3701,1.8
56311,0.1331,0.854599953
56312,0.1331,0.9248
56313,0.1331,0.915299952
56314,0.1331,0.8328
56315,0.1331,0.950599968
56316,0.22810027,1.86400032
56319,0.1271,0.514400125
56320,0.22810027,1.80339992
56321,0.22810027,0.4613
56339,0.1881,0.416800112
56343,0.0871,1.939
56351,0.1881,1.468
56368,0.133100271,0.780299962
56369,0.133100271,0.6951
56370,0.133100271,2.07600021
56371,0.188100263,0.4316
56373,0.133100271,1.3549
56374,0.133100271,0.867899954
56375,0.133100271,1.6161
56377,0.188100263,0.4402
56380,0.188100263,0.6184
56381,0.188100263,0.6781
56384,0.188100263,0.630899966
56388,0.1881,1.21790016
56389,0.1271,0.660300136
56390,0.1271,0.924000084
56393,0.1271,0.573800087
56394,0.3701,1.2312001
56395,0.3701,1.0976001
56396,0.1271,0.6501
56397,0.3701,1.50440013
56398,0.1271,0.475500107
56400,0.188100263,0.4495
56402,0.188100263,0.4589
56403,0,0
56404,0.188100263,0.723899961
56406,0.133100271,0.6035
56408,0.133100271,0.549699962
56410,0.133100271,0.7109
56429,0.1881,1.468
56431,0.1271,0.929800093
56432,0.1331,1.55699992
56433,0.188100263,0.4518
56440,0.1271,0.530800104
56441,0.1271,0.57340014
